time_s,run_id,update,avg_rew,vf_q10,vf_q50,vf_q90,upright_mean,height_mean,done_rate,fallen_rate,timeout_rate,tau_mean,ar_mean,pg_loss,v_loss,entropy,approx_kl,clipfrac,explained_var,ep_timeout_rate,ep_dist_mean,ep_ret_mean,score,best_score,sps
0,100,1.455729603767395,-0.005779133643954992,-0.0026196306571364403,0.0007175845676101744,0.9939513802528381,0.23455500602722168,0.05078125,1.0,0.0,53.952232360839844,4.615569591522217,-0.00013958925410406664,0.04203735350165516,11.184076815843582,0.0068410786184358585,0.09080123901367188,0.9984403252601624,0.0,-0.000489851925522089,27.583499908447266,0.0,1.0,-0.0,-0.0
0,110,1.453721046447754,-0.006181929260492325,-0.003020426956936717,0.000576559454202652,0.9938992261886597,0.2330881953239441,0.05078125,1.0,0.0,53.43401336669922,4.462255477905273,0.00031542591750621796,0.07868108619004488,10.896964699029922,0.007666061345844355,0.10562992095947266,0.9967151284217834,0.0,-0.000580890104174614,27.621265411376953,0.0,1.0,-0.0,-0.0
0,120,1.4602460861206055,-0.006560787092894316,-0.0034957178868353367,0.00033868043101392686,0.9936748147010803,0.23535796999931335,0.05078125,1.0,0.0,52.0207405090332,4.113334655761719,0.004575491821015021,0.035611442755907774,10.47554498910904,0.014858692079087632,0.19748973846435547,0.9988285303115845,0.0,-0.0006360318511724472,27.690330505371094,0.0,1.0,-0.0,-0.0
0,130,1.4576071500778198,-0.006805124692618847,-0.003779046004638076,0.0004194938519503921,0.9934579133987427,0.23288381099700928,0.0546875,1.0,0.0,50.85934066772461,3.7596302032470703,0.0015977872226358159,0.035053548286668956,9.961433500051498,0.010352090309424966,0.14208507537841797,0.9988784193992615,0.0,-0.0006876986008137465,27.777894973754883,0.0,1.0,-0.0,-0.0
0,140,1.4670147895812988,-0.006939479149878025,-0.003949460573494434,0.00012492845417000353,0.9933061599731445,0.2334708869457245,0.05078125,1.0,0.0,49.91315841674805,3.483208179473877,0.00046924042180762626,0.029924348869826645,9.447324246168137,0.007199640086128056,0.09210968017578125,0.9989813566207886,0.0,-0.0007002025377005339,27.83133316040039,0.0,1.0,-0.0,-0.0
0,150,1.4644473791122437,-0.007609077263623476,-0.00449451245367527,0.00018107338109984994,0.993502140045166,0.23415756225585938,0.0546875,1.0,0.0,49.65599822998047,3.262977123260498,0.0004635656532627763,0.03665570792509243,9.056165128946304,0.007107977937948817,0.0908517837524414,0.9988088607788086,0.0,-0.0008004396222531796,27.883190155029297,0.0,1.0,-0.0,-0.0
0,160,1.454300880432129,-0.007567777298390865,-0.004601160064339638,-6.72172536724247e-05,0.9933937191963196,0.232081800699234,0.0546875,1.0,0.0,48.682525634765625,3.1101279258728027,0.0008978589467005804,0.026781667722389102,8.83287501335144,0.007982370726494992,0.10922908782958984,0.9992749094963074,0.0,-0.0008027827134355903,27.682743072509766,0.025,0.9875,-0.0,-0.0
0,170,1.4452235698699951,-0.007630272302776575,-0.004541658330708742,9.592659625923261e-05,0.9935801029205322,0.23274663090705872,0.05078125,1.0,0.0,48.470882415771484,2.910281181335449,0.0008916592560126446,0.030743945681024343,8.462315768003464,0.007155139788892484,0.0923452377319336,0.9989938735961914,0.0,-0.0008204767946153879,27.497955322265625,0.05,0.975,-0.0,-0.0
0,180,1.4366369247436523,-0.007726934272795916,-0.004344258923083544,0.0003278684162069112,0.9938178062438965,0.23363298177719116,0.05078125,1.0,0.0,48.64736557006836,2.7745096683502197,0.0014666039023722988,0.03275361016858369,8.106329202651978,0.0089987588414715,0.12261390686035156,0.998885452747345,0.0,-0.0008487579762004316,27.29636573791504,0.075,0.9625,-0.0,-0.0
0,190,1.424626111984253,-0.00835082121193409,-0.0053467885591089725,-0.00021441226999741048,0.9932228326797485,0.23209160566329956,0.0546875,1.0,0.0,46.56627655029297,2.4693820476531982,0.0016271834138024133,0.024074853747151792,7.723988190293312,0.00901248421814671,0.11862564086914062,0.9989609122276306,0.0,-0.0009251823066733778,27.11786651611328,0.1,0.95,-0.0,-0.0
0,200,1.418530821800232,-0.008569016121327877,-0.005587906576693058,-0.00019963017257396132,0.9932454228401184,0.23565708100795746,0.05078125,1.0,0.0,46.53349685668945,2.271918535232544,0.0030050207060412504,0.018234558345284313,7.349042624235153,0.0103389898754358,0.1430959701538086,0.9991321563720703,0.0,-0.0009631343418732285,26.92209815979004,0.125,0.9375,-0.0,-0.0
0,210,1.4076300859451294,-0.00881771557033062,-0.005785344168543816,-0.0002761031500995159,0.9931573271751404,0.23542919754981995,0.05078125,1.0,0.0,46.53793716430664,2.217308759689331,0.0036703126461361535,0.01880801992956549,7.1593030989170074,0.01245549020359249,0.17797374725341797,0.9993436336517334,0.0,-0.0009949951199814677,26.691518783569336,0.15,0.925,-0.0,-0.0
0,220,1.390294075012207,-0.008838244713842869,-0.005861080251634121,-0.00039429820026271045,0.9929568767547607,0.23261696100234985,0.0546875,1.0,0.0,45.754947662353516,2.0980725288391113,0.002567213017755421,0.01687354824389331,6.795926049351692,0.009750476771841932,0.1383991241455078,0.9993187189102173,0.0,-0.0010075904428958893,26.48769187927246,0.175,0.9125,-0.0,-0.0
